,0
0,50.9207
1,50.9124
2,51.3297
3,50.8373
4,51.2462
5,50.4784
6,51.2045
7,50.9708
8,51.526
9,51.139
10,51.6018
11,51.4756
12,52.0729
13,52.115
14,52.4768
15,52.1739
16,52.5273
17,52.7629
18,53.1667
19,52.847
20,53.3182
21,53.5117
22,53.7725
23,53.9492
24,53.9408
25,54.3699
26,54.4625
27,54.555
28,54.3951
29,54.9
30,54.8074
31,54.9
32,55.3375
33,55.5983
34,56.364
35,55.8003
36,55.2365
37,55.8003
38,55.5058
39,55.3627
40,54.7401
41,55.0514
42,55.43
43,54.7654
44,54.8747
45,55.4721
46,54.799
47,53.722
48,54.6391
49,53.8651
50,53.8987
51,53.6379
52,52.0898
53,52.1823
54,52.5441
55,52.6956
56,53.3518
57,54.3447
58,54.0754
59,54.3363
60,55.4805
61,55.531
62,54.6896
63,55.0262
64,56.6248
65,55.5731
66,56.2714
67,56.7258
68,56.3976
69,56.2209
70,56.2209
71,57.5082
72,57.0788
73,57.3585
74,57.3585
75,56.8415
76,56.9432
77,57.3416
78,56.7483
79,57.1636
80,57.2992
81,56.6636
82,56.8076
83,57.4009
84,57.6043
85,58.1636
86,59.562
87,60.1553
88,61.096
89,60.9943
90,61.1722
91,60.9349
92,62.4011
93,60.562
94,59.0535
95,58.8077
96,58.9518
97,60.3417
98,61.2231
99,60.1214
100,60.74
101,59.3586
102,59.5705
103,59.2569
104,59.223
105,59.2739
106,59.1298
107,59.0959
108,59.2569
109,59.3501
110,59.3247
111,59.3501
112,59.5112
113,59.384
114,58.2823
115,59.6976
116,58.9772
117,60.062
118,60.6976
119,61.6045
120,61.4095
121,60.901
122,60.8163
123,61.1129
124,60.1468
125,61.8841
126,60.9095
127,60.6722
128,59.5196
129,59.918
130,60.3078
131,59.3247
132,59.4179
133,59.7488
134,59.9109
135,60.3377
136,60.0987
137,60.9523
138,60.4572
139,60.5767
140,61.2937
141,60.6023
142,60.4913
143,59.8939
144,59.7061
145,59.8853
146,60.7047
147,59.7573
148,60.3804
149,59.9707
150,58.6733
151,58.9976
152,58.8013
153,58.6818
154,59.2452
155,59.9792
156,60.3548
157,60.517
158,62.5313
159,64.2043
160,64.8871
161,65.1005
162,64.5799
163,63.163
164,62.8386
165,63.163
166,62.6082
167,62.2411
168,60.9949
169,60.7133
170,60.8157
171,61.3876
172,61.6436
173,61.8826
174,62.5484
175,62.5655
176,62.7703
177,62.8301
178,62.318
179,62.3094
180,62.2923
181,61.857
182,62.207
183,61.6436
184,61.3961
185,60.278
186,61.3364
187,61.4217
188,61.6778
189,62.5228
190,62.1643
191,61.4303
192,61.2425
193,61.8826
194,62.5313
195,62.4289
196,62.1046
197,62.4608
198,62.9335
199,62.7788
200,62.5812
201,63.1226
202,63.028
203,63.6382
204,63.5609
205,63.9046
206,64.2828
207,65.4429
208,67.8235
209,67.686
210,67.0328
211,66.4656
212,66.6547
213,67.0156
214,67.3508
215,70.4618
216,71.4243
217,73.8134
218,71.8196
219,72.1118
220,72.7736
221,72.0947
222,70.8743
223,71.5876
224,71.9743
225,70.9001
226,72.3267
227,73.2119
228,73.3494
229,72.6189
230,72.0173
231,73.2291
232,73.315
233,74.458
234,75.8588
235,75.6268
236,75.8846
237,76.6065
238,76.5291
239,75.4463
240,74.5955
241,74.7674
242,75.369
243,75.2658
244,71.6048
245,76.5377
246,73.908
247,72.6189
248,72.7994
249,73.8306
250,72.4126
251,72.9455
252,72.8853
253,72.6103
254,72.7736
255,73.1689
256,70.9001
257,71.1751
258,71.1665
259,71.5068
260,71.9304
261,71.6797
262,71.9823
263,72.4751
264,71.8786
265,75.0947
266,75.1984
267,70.5472
268,71.0572
269,69.0601
270,70.7114
271,72.0169
272,72.1552
273,69.6826
274,69.7777
275,70.9362
276,69.7172
277,70.4261
278,72.1466
279,70.1322
280,69.7258
281,70.8238
282,71.2647
283,72.7085
284,73.0284
285,78.4146
286,77.0313
287,75.0601
288,76.0803
289,74.7402
290,74.5587
291,72.3454
292,69.4838
293,70.4866
294,72.2763
295,72.7604
296,76.1494
297,74.6884
298,72.8814
299,71.8872
300,73.7719
301,67.9362
302,68.9823
303,70.0025
304,68.5933
305,69.6653
306,70.1408
307,69.2936
308,67.6336
309,66.7604
310,67.0457
311,67.7028
312,68.7316
313,70.2013
314,71.1523
315,70.9621
316,70.1495
317,71.0918
318,71.0227
319,70.0284
320,69.4233
321,69.1898
322,68.4736
323,69.6828
324,70.0743
325,69.3001
326,69.5958
327,70.4049
328,70.8921
329,72.3797
330,73.3366
331,73.5106
332,72.6929
333,72.9712
334,72.8755
335,72.8668
336,73.2583
337,75.0417
338,73.6411
339,72.6146
340,76.0769
341,74.4849
342,74.8329
343,73.2757
344,72.9016
345,72.5189
346,74.1022
347,74.8155
348,75.468
349,74.4414
350,74.5719
351,75.0504
352,75.1287
353,74.7981
354,74.4501
355,74.6763
356,75.207
357,74.5719
358,72.5537
359,72.1187
360,71.936
361,71.0139
362,71.0487
363,70.7268
364,70.1265
365,70.2396
366,68.9695
367,70.1961
368,71.6054
369,71.2052
370,71.8229
371,71.6837
372,71.7707
373,71.1182
374,70.9965
375,71.2226
376,67.2992
377,68.0386
378,67.5602
379,66.5162
380,66.0725
381,64.5153
382,63.9847
383,63.8803
384,64.5889
385,63.2486
386,62.6967
387,63.0296
388,64.8342
389,64.3174
390,63.6779
391,63.8706
392,64.0371
393,64.2385
394,65.062
395,66.0694
396,64.2736
397,63.6253
398,63.7129
399,64.6503
400,64.2736
401,64.0984
402,63.8969
403,64.3962
404,64.8255
405,64.3612
406,65.0532
407,62.7668
408,62.4515
409,63.2749
410,60.6206
411,62.0222
412,61.5054
413,63.2224
414,61.8908
415,62.504
416,61.9696
417,63.0559
418,62.8719
419,62.723
420,64.44
421,63.7567
422,63.7742
423,65.2722
424,65.9468
425,65.246
426,64.6327
427,65.465
428,65.9643
429,66.2446
430,66.2096
431,67.9616
432,67.6988
433,67.6025
