,0
0,102.732
1,102.6127
2,103.4578
3,101.9566
4,102.4636
5,101.3799
6,102.6227
7,102.2846
8,102.6028
9,103.1397
10,104.5813
11,103.8157
12,104.6509
13,104.7901
14,105.5854
15,106.003
16,105.8837
17,106.3808
18,106.0627
19,105.0784
20,104.6906
21,106.6294
22,106.2118
23,107.4943
24,107.1762
25,107.3551
26,107.5937
27,107.7329
28,106.1223
29,106.4007
30,106.0129
31,105.4462
32,106.2516
33,105.5357
34,105.9632
35,105.307
36,103.7263
37,102.1554
38,103.1098
39,101.6881
40,101.2507
41,102.4139
42,101.2904
43,100.5945
44,102.1753
45,102.4139
46,100.4255
47,98.5464
48,100.2863
49,98.1388
50,98.2084
51,98.4271
52,97.3533
53,95.9515
54,98.0493
55,97.7013
56,98.8347
57,100.6442
58,101.0518
59,102.5233
60,103.1098
61,103.428
62,107.2458
63,106.0825
64,108.6774
65,104.1836
66,100.4752
67,101.9566
68,101.6185
69,102.1455
70,100.3459
71,100.4155
72,99.0236
73,99.1131
74,99.1429
75,98.2481
76,99.8488
77,100.7237
78,100.1173
79,101.2606
80,100.157
81,100.843
82,99.8488
83,101.8969
84,104.0345
85,103.9947
86,104.3228
87,105.1579
88,104.4819
89,105.5357
90,103.6865
91,103.7561
92,103.9748
93,102.6624
94,101.6483
95,100.8033
96,100.6144
97,103.1098
98,106.003
99,105.1877
100,106.9376
101,106.6194
102,107.375
103,107.3154
104,107.5142
105,108.9359
106,109.0552
107,111.7496
108,111.68
109,110.2682
110,113.9169
111,114.8813
112,116.4522
113,116.1937
114,113.8672
115,114.4439
116,114.3345
117,117.2376
118,116.4224
119,115.7165
120,118.371
121,116.3229
122,115.3784
123,115.8557
124,115.2293
125,114.7222
126,112.6642
127,114.8018
128,115.8954
129,116.7405
130,115.0603
131,114.2251
132,113.3999
133,114.2749
134,116.0346
135,116.1141
136,115.2194
137,116.3726
138,115.1199
139,120.5086
140,122.9344
141,122.845
142,121.642
143,122.5467
144,123.7596
145,122.6561
