,0
0,61.03
1,61.96
2,63.91
3,64.5
4,65.28
5,64.05
6,64.31
7,65.1
8,64.85
9,65.59
10,68.26
11,67.85
12,68.31
13,68.47
14,70.23
15,68.51
16,70.96
17,71.07
18,71.28
19,69.91
20,69.75
21,71.45
22,70.43
23,70.47
24,68.75
25,66.91
26,69.39
27,68.41
28,69.3
29,68.9
30,67.76
31,66.57
32,67.11
33,68.21
34,69.75
35,69.38
36,68.93
37,70.17
38,72.43
39,71.45
40,71.67
41,73.22
42,71.93
43,70.02
44,70.29
45,71.17
46,70.53
47,70.21
48,72.86
49,71.27
50,70.72
51,68.59
52,66.14
53,66.44
54,71.33
55,70.28
56,72.27
57,74.36
58,75.0
59,75.4
60,80.51
61,81.43
62,81.31
63,80.32
64,83.26
65,83.06
66,83.72
67,84.13
68,82.15
69,83.6
70,85.78
71,87.48
72,85.38
73,86.98
74,87.06
75,82.88
76,83.26
77,85.18
78,84.53
79,85.48
80,83.89
81,88.69
82,89.55
83,89.47
84,89.3
85,90.66
86,92.37
87,91.68
88,90.15
89,90.94
90,90.92
91,95.0
92,92.86
93,91.7
94,91.7
95,87.38
96,86.34
97,89.0
98,92.44
99,93.34
100,92.89
101,87.15
102,88.86
103,91.42
104,91.81
105,90.63
106,91.24
107,90.89
108,93.11
109,91.72
110,95.66
111,94.44
112,95.31
113,97.29
114,95.44
115,99.57
116,98.39
117,99.95
118,98.51
119,93.5
120,96.03
121,98.09
122,99.0
123,100.58
124,98.35
125,99.14
126,97.72
127,96.08
128,91.33
129,93.83
130,95.93
131,94.0
132,95.39
133,94.57
134,97.0
135,98.57
136,100.8
137,101.49
138,103.39
139,104.55
140,107.64
141,108.04
142,106.01
143,108.25
144,108.24
145,107.0
146,107.21
147,107.49
148,111.05
149,113.44
150,113.75
151,112.09
152,113.87
153,114.5
154,117.68
155,121.49
156,124.37
157,126.51
158,127.36
159,128.51
160,125.25
161,124.01
162,122.85
163,112.63
164,125.0
165,131.33
166,128.85
167,124.61
168,120.92
169,120.11
170,119.69
171,120.39
172,124.5
173,122.56
174,121.88
175,122.0
176,122.03
177,121.4
178,120.85
179,121.04
180,120.94
181,121.3
182,120.69
183,122.38
184,120.72
185,118.27
186,113.94
187,116.34
188,114.85
189,115.43
190,115.69
191,119.14
192,119.75
193,121.49
194,122.28
195,120.23
196,122.14
197,122.38
198,122.6
199,122.42
200,126.23
201,125.44
202,127.59
203,126.26
204,127.0
205,128.12
206,129.43
207,127.73
208,125.7
209,123.77
210,124.12
211,122.61
212,121.65
213,125.0
214,123.47
215,120.92
216,122.81
217,122.3
218,121.3
219,122.0
220,121.8
221,132.27
222,137.21
223,138.79
224,141.04
225,138.85
226,136.66
227,135.52
228,133.7
229,134.29
230,138.54
231,136.37
232,136.07
233,140.39
234,138.84
235,139.58
236,141.49
237,142.92
238,144.78
239,146.98
240,145.57
241,148.01
242,150.0
243,149.77
244,142.81
245,146.87
246,146.11
247,143.99
248,144.93
249,147.42
250,143.83
251,145.44
252,146.68
253,145.0
254,144.76
255,143.57
256,134.51
257,134.41
258,134.82
259,134.99
260,137.64
261,135.03
262,135.21
263,139.39
264,135.96
265,134.53
266,126.8
267,115.01
268,124.74
269,124.95
270,129.5
271,130.43
272,134.05
273,126.07
274,126.43
275,129.5
276,124.6
277,129.19
278,134.27
279,129.83
280,132.65
281,133.75
282,131.64
283,131.71
284,129.19
285,130.98
286,132.68
287,119.27
288,118.68
289,117.0
290,113.05
291,106.85
292,100.12
293,99.5
294,103.75
295,108.41
296,114.77
297,107.97
298,103.28
299,102.38
300,99.92
301,103.28
302,102.01
303,101.61
304,103.6
305,111.61
306,108.89
307,107.0
308,105.27
309,103.93
310,102.92
311,103.87
312,105.24
313,110.88
314,112.69
315,111.66
316,118.37
317,116.1
318,116.0
319,112.95
320,112.0
321,113.7
322,110.79
323,112.88
324,111.0
325,106.22
326,107.57
327,105.28
328,107.84
329,107.61
330,95.15
331,97.5
332,97.8
333,94.81
334,96.03
335,96.31
336,96.23
337,98.0
338,96.04
339,93.97
340,98.15
341,94.33
342,95.36
343,94.59
344,95.25
345,93.94
346,94.84
347,99.71
348,101.8
349,100.5
350,104.84
351,104.36
352,104.4
353,105.83
354,105.91
355,106.02
356,106.3
357,105.44
358,102.8
359,105.02
360,101.87
361,99.44
362,97.71
363,95.87
364,93.43
365,92.6
366,86.27
367,81.12
368,83.81
369,78.03
370,81.64
371,82.43
372,83.86
373,84.62
374,86.18
375,80.72
376,73.84
377,73.81
378,74.44
379,72.37
380,71.5
381,70.75
382,68.17
383,63.59
384,65.96
385,65.43
386,68.0
387,72.11
388,75.16
389,78.36
390,74.55
391,79.05
392,78.11
393,74.31
394,76.92
395,76.64
396,80.75
397,82.5
398,87.44
399,88.91
400,89.73
401,87.7
402,89.36
403,85.86
404,86.54
405,84.6
406,87.52
407,85.44
408,82.81
409,80.4
410,77.81
411,76.13
412,77.46
413,83.18
414,80.82
415,81.35
416,79.01
417,79.37
418,79.09
419,81.46
420,85.67
421,83.99
422,83.01
423,89.0
424,88.77
425,85.58
426,83.03
427,85.0
428,89.93
429,89.61
430,86.09
431,87.26
432,92.0
433,89.25
434,91.98
435,93.76
436,90.07
437,87.01
438,86.95
439,83.44
440,85.71
441,86.0
442,84.15
443,82.16
444,80.36
445,81.1
446,84.55
447,87.24
448,82.51
449,79.79
450,82.82
451,85.73
452,83.54
453,86.46
454,84.94
455,86.85
456,86.32
457,88.31
458,88.04
459,87.57
460,89.35
461,88.69
462,89.04
463,91.15
464,89.14
465,88.64
466,85.36
467,83.75
468,82.35
469,81.09
470,80.22
471,81.4
472,83.19
473,84.3
474,82.77
475,84.05
476,80.81
477,82.87
478,79.56
479,75.87
480,76.23
481,80.52
482,78.71
483,77.59
484,80.64
485,80.34
486,86.58
487,87.81
488,91.82
489,88.83
490,88.44
491,88.19
492,89.79
493,92.23
494,93.49
495,91.57
496,92.0
497,93.78
498,94.02
499,93.27
500,91.58
501,98.8
502,98.18
503,99.33
504,99.96
505,99.03
506,102.41
507,100.88
508,99.29
509,94.62
510,94.89
511,91.93
512,91.49
513,92.9
514,92.75
515,92.14
516,92.85
517,93.07
518,95.67
519,99.11
520,99.22
521,95.75
522,95.09
523,96.26
524,95.75
525,95.29
526,93.7
527,95.3
528,95.96
529,94.95
530,96.08
531,96.21
532,93.33
533,95.6
534,94.5
535,95.23
536,94.82
537,96.62
538,98.97
539,97.97
540,98.0
541,96.63
542,96.86
543,95.43
544,98.19
545,96.02
546,93.08
547,91.98
548,94.59
549,94.69
550,95.13
551,93.19
552,94.07
553,93.09
554,91.46
555,86.31
556,87.58
557,84.83
558,86.15
559,85.35
560,84.41
561,84.0
562,82.67
563,82.28
564,81.26
565,82.29
566,79.73
567,81.26
568,80.3
569,82.38
570,81.43
571,79.65
572,82.64
573,82.79
574,89.0
575,92.8
576,93.28
577,91.78
578,91.93
579,91.61
580,89.15
581,90.42
582,89.13
583,87.51
584,84.59
585,88.06
586,89.0
587,87.46
588,86.64
589,85.97
590,83.39
591,82.51
592,82.99
593,81.36
594,81.7
595,84.67
596,82.37
597,82.44
598,83.26
599,85.72
600,85.32
601,85.15
602,84.41
603,85.09
604,84.91
605,83.06
606,86.0
607,85.08
608,83.84
609,83.35
610,83.3
611,86.96
612,87.0
613,87.19
614,89.79
615,91.31
616,89.84
617,85.47
618,86.16
619,86.34
620,86.19
621,86.9
622,86.7
623,84.62
624,83.27
625,84.44
626,84.0
627,85.99
628,86.49
629,84.9
630,87.79
631,88.5
632,89.23
633,88.57
634,90.0
635,88.7
636,90.89
637,91.23
638,90.33
639,90.46
640,91.39
641,91.77
642,90.5
643,90.24
644,90.46
645,89.76
646,87.99
647,87.26
648,91.6
649,94.5
650,93.5
651,93.19
652,93.32
653,90.56
654,89.24
655,90.18
656,91.09
657,92.68
658,92.77
659,91.42
660,92.77
661,91.07
662,90.97
663,90.19
664,87.28
665,87.31
666,87.52
667,86.83
668,88.18
669,89.15
670,89.76
671,88.93
672,87.56
673,86.63
674,86.25
675,85.45
676,86.93
677,87.64
678,88.59
679,88.94
680,88.72
681,89.91
682,92.45
683,91.21
684,90.61
685,90.31
686,90.48
687,94.0
688,94.65
689,95.72
690,96.93
691,96.03
692,96.74
693,96.0
694,96.36
695,99.0
696,93.17
697,90.8
698,91.12
699,90.0
700,89.23
701,89.62
702,91.5
703,91.73
704,90.19
705,90.89
706,89.27
707,90.71
708,88.38
709,89.15
710,87.65
711,88.18
712,88.29
713,87.53
714,89.7
715,90.56
716,90.01
717,89.61
718,89.75
719,90.02
720,89.92
721,88.86
722,90.43
723,91.92
724,90.0
725,89.28
726,91.25
727,92.72
728,99.22
729,96.6
730,95.1
731,93.31
732,90.35
733,92.27
734,90.87
735,91.12
736,90.52
737,91.32
738,90.4
739,90.59
740,91.86
741,91.46
742,90.47
743,91.41
744,90.97
745,87.03
746,87.63
747,87.51
748,87.79
749,89.12
750,90.5
751,88.83
752,89.14
753,87.43
754,88.3
755,88.11
756,87.0
757,88.0
758,89.82
759,89.82
760,86.41
761,85.03
762,84.66
763,81.76
764,83.18
765,83.43
766,83.58
767,83.18
768,80.81
769,80.99
770,80.9
771,81.08
772,81.54
773,82.67
774,82.62
775,81.97
776,83.76
777,88.27
778,90.02
779,90.3
780,90.32
781,89.7
782,90.45
783,90.33
784,90.6
785,91.84
786,92.59
787,91.26
788,91.83
789,92.06
790,92.13
791,92.36
792,93.18
793,94.73
794,94.26
795,93.35
796,92.06
797,92.98
798,93.52
799,93.91
800,93.03
801,93.3
802,94.36
803,94.76
804,95.36
805,93.89
806,94.96
807,95.23
808,95.13
809,95.1
810,93.4
811,89.19
812,87.77
813,88.27
814,86.63
815,86.1
816,85.07
817,82.52
818,82.73
819,82.35
820,82.57
821,80.9
822,82.52
823,83.75
824,83.4
825,83.83
826,82.32
827,81.67
828,82.02
829,81.06
830,81.82
831,81.87
832,82.56
833,82.88
834,83.01
835,83.19
836,82.66
837,82.83
838,82.98
839,82.44
840,83.49
841,85.16
842,85.32
843,83.34
844,80.87
845,80.85
846,81.48
847,89.49
848,87.5
849,87.3
850,90.0
851,90.4
852,93.0
853,92.43
854,90.66
855,91.11
856,90.91
857,90.05
858,90.9
859,90.98
860,90.08
861,88.84
862,91.58
863,92.84
864,91.18
865,90.21
866,89.31
867,88.97
868,88.51
869,91.0
870,90.58
871,90.76
872,89.69
873,89.55
874,90.0
875,92.53
876,92.89
877,91.73
878,90.65
879,91.53
880,91.55
881,90.02
882,89.38
883,92.19
884,90.6
885,86.43
886,86.63
887,84.84
888,82.57
889,81.1
890,82.48
891,80.98
892,85.02
893,85.3
894,81.77
895,84.29
896,84.58
897,85.22
898,83.47
899,83.84
900,82.96
901,81.29
902,77.32
903,79.04
904,81.2
905,81.61
906,82.8
907,82.39
908,83.61
909,85.6
910,86.67
911,86.06
912,83.88
913,83.54
914,83.82
915,83.9
916,84.94
917,81.35
918,80.29
919,80.72
920,78.19
921,79.69
922,80.12
923,77.93
924,76.44
925,80.05
926,77.96
927,77.53
928,79.45
929,79.2
930,79.85
931,84.59
932,84.28
933,83.25
934,84.49
935,84.06
936,83.54
937,82.15
938,82.91
939,81.02
940,81.92
941,82.47
942,84.71
943,83.47
944,85.69
945,82.02
946,82.4
947,85.96
948,86.65
949,86.76
950,89.15
951,89.43
952,88.69
953,88.77
954,89.13
955,89.04
956,88.83
957,89.06
958,87.0
959,86.94
960,88.99
961,90.6
962,91.68
963,90.88
964,90.6
965,90.68
966,91.8
967,92.21
968,92.35
969,92.8
970,90.51
971,90.31
972,89.79
973,90.33
974,89.5
975,90.43
976,95.2
977,95.0
978,95.94
979,98.2
980,98.44
981,97.97
982,95.19
983,93.52
984,91.59
985,91.9
986,93.41
987,94.34
988,94.65
989,95.75
990,95.37
991,100.0
992,98.04
993,101.0
994,101.56
995,104.0
996,102.26
997,103.78
998,102.88
999,103.01
1000,101.69
1001,102.47
1002,101.31
1003,101.86
1004,102.24
1005,99.99
1006,99.99
1007,99.92
1008,100.16
1009,103.76
1010,99.61
1011,103.15
1012,105.48
1013,102.81
1014,101.32
1015,101.42
1016,103.22
1017,102.28
1018,102.31
1019,99.99
1020,101.22
1021,99.58
1022,99.61
1023,101.24
1024,99.0
1025,99.34
1026,99.9
1027,99.1
1028,99.71
1029,99.06
1030,98.16
1031,96.34
1032,96.93
1033,96.08
1034,98.39
1035,97.28
1036,96.54
1037,98.8
1038,100.0
1039,99.2
1040,98.02
1041,99.55
1042,100.56
1043,100.3
1044,97.24
1045,97.68
1046,96.39
1047,97.93
1048,97.97
1049,98.13
1050,98.79
1051,99.36
1052,99.78
1053,99.14
1054,101.18
1055,101.11
1056,103.34
1057,97.56
1058,99.07
1059,99.4
1060,100.09
1061,106.09
1062,106.25
1063,104.68
1064,103.55
1065,102.27
1066,100.45
1067,93.09
1068,90.0
1069,99.0
1070,93.41
1071,92.79
1072,92.55
1073,97.88
1074,98.68
1075,97.43
1076,97.06
1077,99.01
1078,98.13
1079,95.36
1080,93.78
1081,94.02
1082,91.11
1083,93.95
1084,95.59
1085,93.26
1086,92.29
1087,92.51
1088,94.75
1089,96.33
1090,96.07
1091,97.92
1092,96.92
1093,96.61
1094,97.34
1095,92.3
1096,94.44
1097,93.0
1098,94.83
1099,93.12
1100,94.94
1101,92.64
1102,92.64
1103,92.85
1104,89.85
1105,86.03
1106,85.97
1107,80.5
1108,80.5
1109,82.53
1110,84.04
1111,83.89
1112,82.1
1113,86.11
1114,85.45
1115,87.58
1116,90.95
1117,92.38
1118,90.55
1119,93.82
1120,93.79
1121,93.24
1122,94.84
1123,95.24
1124,98.3
1125,96.82
1126,95.6
1127,93.68
1128,93.0
1129,94.37
1130,93.55
1131,94.23
1132,97.19
1133,98.0
1134,98.35
1135,98.63
1136,97.7
1137,95.53
1138,93.23
1139,94.35
1140,93.47
1141,95.71
1142,95.2
1143,94.18
1144,93.78
1145,92.0
1146,90.12
1147,86.14
1148,93.38
1149,91.29
1150,91.78
1151,93.45
1152,93.85
1153,95.0
1154,93.14
1155,92.51
1156,90.78
1157,90.44
1158,89.71
1159,91.45
1160,94.05
1161,95.26
1162,94.4
1163,94.09
1164,93.92
1165,91.42
1166,89.48
1167,90.25
1168,87.86
1169,89.31
1170,89.76
1171,88.03
1172,88.72
1173,89.0
1174,89.43
1175,91.83
1176,92.18
1177,93.03
1178,93.76
1179,91.98
1180,91.7
1181,92.29
1182,89.12
1183,90.1
1184,92.26
1185,88.61
1186,83.46
1187,82.93
1188,83.58
1189,86.16
1190,85.25
1191,84.98
1192,84.98
1193,85.98
1194,85.62
1195,84.17
1196,83.83
1197,82.55
1198,82.49
1199,82.5
1200,82.1
1201,82.92
1202,81.01
1203,80.63
1204,80.71
1205,87.76
1206,89.23
1207,87.89
1208,87.28
1209,87.2
1210,86.99
