,0
0,51.69
1,51.09
2,51.77
3,52.25
4,51.2
5,51.24
6,51.58
7,50.66
8,50.8
9,51.32
10,52.08
11,52.35
12,53.28
13,52.55
14,52.97
15,51.62
16,51.91
17,51.49
18,51.09
19,50.98
20,51.17
21,50.01
22,51.31
23,52.61
24,53.84
25,53.27
26,53.51
27,54.69
28,55.55
29,56.22
30,55.53
31,55.42
32,55.99
33,56.88
34,56.74
35,56.52
36,55.75
37,55.23
38,56.62
39,56.73
40,55.86
41,57.34
42,57.25
43,56.42
44,57.33
45,58.55
46,57.02
47,57.02
48,57.57
49,54.49
50,54.93
51,54.54
52,53.85
53,53.4
54,54.95
55,54.92
56,56.58
57,59.0
58,56.25
59,56.88
60,55.96
61,56.75
62,54.88
63,53.48
64,53.0
65,53.47
66,53.47
67,53.92
68,51.49
69,52.18
70,52.51
71,53.55
72,53.44
73,54.14
74,53.7
75,52.5
76,53.1
77,53.43
78,53.66
79,54.25
80,54.85
81,54.67
82,54.19
83,54.99
84,54.8
85,52.03
86,52.76
87,54.85
88,53.92
89,52.67
90,51.66
91,52.53
92,50.82
93,50.53
94,51.12
95,50.07
96,51.07
97,52.13
98,52.09
99,52.96
100,52.65
101,51.81
102,52.99
103,53.15
104,52.19
105,51.99
106,51.03
107,51.24
108,53.24
109,53.74
110,53.39
111,53.98
112,54.4
113,54.37
114,55.51
115,56.71
116,56.04
117,57.84
118,56.67
119,56.18
120,56.58
121,57.03
122,57.48
123,58.24
124,57.56
125,56.82
126,57.06
127,56.73
128,57.07
129,58.03
130,57.84
131,57.6
132,56.63
133,56.85
134,57.97
135,59.52
136,59.82
137,60.09
138,60.83
139,61.31
140,60.34
141,62.53
142,65.0
143,68.06
144,70.03
145,69.2
146,67.26
147,67.77
148,67.04
149,67.36
150,67.1
151,67.0
152,67.52
153,68.09
154,68.28
155,67.52
156,68.51
157,68.59
158,68.55
159,71.21
160,71.37
161,71.6
162,71.12
163,67.92
164,69.7
165,70.93
166,70.5
167,70.76
168,70.93
169,69.87
170,70.0
171,69.22
172,69.54
173,69.34
174,69.95
175,69.17
176,68.54
177,67.59
178,68.5
179,68.85
180,69.98
181,67.85
182,69.45
183,69.78
184,69.88
185,71.0
186,64.14
187,63.23
188,64.28
189,65.8
190,65.75
191,64.67
192,65.08
193,65.9
194,66.5
195,65.13
196,65.95
197,65.18
198,65.97
199,66.31
200,68.56
201,67.88
202,67.49
203,67.01
204,66.47
205,65.72
206,65.6
207,65.41
208,65.05
209,65.09
210,65.36
211,65.05
212,66.15
213,68.05
214,67.7
215,66.9
216,67.63
217,67.16
218,66.68
219,66.84
220,67.91
221,68.76
222,68.09
223,69.9
224,70.65
225,71.37
226,70.14
227,69.18
228,66.64
229,66.2
230,67.74
231,67.97
232,66.33
233,68.03
234,66.22
235,65.54
236,64.78
237,66.69
238,68.39
239,69.12
240,69.24
241,68.54
242,68.16
243,69.14
244,67.73
245,68.47
246,68.07
247,65.94
248,65.76
249,75.2
250,78.43
251,80.63
252,80.85
253,81.68
254,81.94
255,82.57
256,81.5
257,81.48
258,80.93
259,81.09
260,82.42
261,82.52
262,80.18
263,80.3
264,79.92
265,79.23
266,77.37
267,73.01
268,76.47
269,77.0
270,79.87
271,78.45
272,77.51
273,75.45
274,76.28
275,76.23
276,74.83
277,76.53
278,79.23
279,77.22
280,77.09
281,77.68
282,77.99
283,78.25
284,79.53
285,81.05
286,80.71
287,78.82
288,77.5
289,77.03
290,76.59
291,73.62
292,68.88
293,71.51
294,71.33
295,70.98
296,72.47
297,71.25
298,68.5
299,69.7
300,68.87
301,70.18
302,70.73
303,69.44
304,69.81
305,71.67
306,72.46
307,73.27
308,71.89
309,71.68
310,68.06
311,67.9
312,69.28
313,65.2
314,67.31
315,65.22
316,64.39
317,67.65
318,68.45
319,68.83
320,67.45
321,67.85
322,69.58
323,69.56
324,67.76
325,66.42
326,65.65
327,67.02
328,68.0
329,68.52
330,68.02
331,69.6
332,70.99
333,73.14
334,73.79
335,74.71
336,74.89
337,74.47
338,74.5
339,73.11
340,73.18
341,73.28
342,74.2
343,73.49
344,73.36
345,74.1
346,74.06
347,75.44
348,76.65
349,75.82
350,76.41
351,75.6
352,75.6
353,75.49
354,76.2
355,77.26
356,78.1
357,78.07
358,77.55
359,75.14
360,72.83
361,74.0
362,72.4
363,72.7
364,71.08
365,72.61
366,68.33
367,67.9
368,69.45
369,65.95
370,68.77
371,68.81
372,68.8
373,68.9
374,68.8
375,69.47
376,66.8
377,65.93
378,67.97
379,66.98
380,67.93
381,67.88
382,66.44
383,64.83
384,67.04
385,67.01
386,67.0
387,67.97
388,68.45
389,69.45
390,68.28
391,70.96
392,69.5
393,68.8
394,70.67
395,68.58
396,70.34
397,71.69
398,72.49
399,71.94
400,72.13
401,71.4
402,70.75
403,70.54
404,70.66
405,71.23
406,73.02
407,72.14
408,69.99
409,70.84
410,70.48
411,71.43
412,70.91
413,72.98
414,70.55
415,72.37
416,71.8
417,74.0
418,73.0
419,75.0
420,75.97
421,75.59
422,74.59
423,75.91
424,75.55
425,74.77
426,73.49
427,72.94
428,74.44
429,73.68
430,73.19
431,74.73
432,73.12
433,72.84
434,71.27
435,74.54
436,71.9
437,68.25
438,67.71
439,66.87
440,67.61
441,66.28
442,64.51
443,64.35
444,64.2
445,64.05
446,65.37
447,64.78
448,63.51
449,62.97
450,63.91
451,63.87
452,63.28
453,63.26
454,64.02
455,65.8
456,65.93
457,67.88
458,68.63
459,68.23
460,67.23
461,70.63
462,71.69
463,70.42
464,68.78
465,68.71
466,69.1
467,68.5
468,68.51
469,67.05
470,66.05
471,66.47
472,65.25
473,64.95
474,64.64
475,64.87
476,65.26
477,67.77
478,64.8
479,67.44
480,66.08
481,67.63
