,0
0,90.64
1,89.78
2,89.44
3,89.76
4,88.55
5,86.18
6,89.62
7,87.39
8,88.68
9,88.26
10,90.08
11,92.74
12,93.0
13,93.33
14,93.56
15,93.98
16,94.55
17,95.19
18,94.68
19,92.89
20,90.4
21,115.74
22,115.51
23,114.1
24,112.32
25,111.62
26,114.45
27,117.55
28,121.16
29,121.3
30,124.53
31,126.45
32,126.72
33,129.43
34,130.62
35,130.14
36,132.8
37,131.7
38,134.47
39,135.19
40,134.33
41,132.38
42,129.04
43,130.54
44,130.1
45,130.12
46,127.06
47,130.52
48,131.48
49,128.29
50,126.0
51,123.08
52,120.08
53,122.23
54,125.05
55,124.28
56,127.21
57,127.91
58,130.91
59,128.93
60,131.86
61,126.9
62,131.0
63,130.17
64,133.22
65,129.81
66,130.23
67,126.76
68,122.89
69,125.64
70,124.88
71,125.47
72,123.61
73,122.56
74,125.51
75,125.27
76,125.16
77,128.55
78,127.48
79,130.85
80,129.94
81,131.12
82,130.68
83,131.45
84,132.75
85,131.99
86,134.41
87,132.47
88,129.84
89,128.4
90,131.24
91,135.21
92,128.56
93,129.06
94,130.76
95,128.13
96,125.94
97,129.31
98,131.41
99,133.32
100,135.42
101,127.31
102,131.25
103,132.4
104,132.22
105,131.63
106,129.5
107,126.84
108,127.11
109,125.53
110,126.87
111,128.88
112,129.78
113,133.92
114,133.92
115,136.0
116,137.8
117,141.78
118,145.65
119,146.97
120,147.39
121,144.7
122,145.36
123,148.06
124,144.66
125,141.79
126,141.98
127,142.19
128,140.34
129,140.25
130,141.82
131,141.58
132,143.29
133,146.12
134,146.59
135,148.08
136,150.49
137,155.62
138,155.79
139,155.85
140,157.01
141,157.37
142,156.14
143,158.39
144,154.8
145,154.75
146,155.31
147,157.02
148,157.36
149,160.41
150,161.26
151,159.24
152,165.0
153,165.01
154,162.22
155,164.39
156,174.93
157,176.68
158,174.31
159,176.15
160,178.0
161,178.13
162,180.24
163,166.48
164,167.75
165,174.9
166,175.58
167,172.96
168,173.7
169,174.36
170,177.77
171,179.98
172,183.04
173,185.98
174,184.5
175,186.63
176,185.85
177,185.78
178,187.03
179,185.93
180,185.8
181,188.65
182,187.5
183,188.56
184,186.79
185,168.0
186,163.24
187,163.9
188,161.38
189,170.07
190,169.7
