,0
0,160.1677
1,160.3873
2,158.7306
3,157.6827
4,158.1418
5,157.9222
6,158.8204
7,157.7625
8,158.6807
9,161.2655
10,161.3254
11,161.2555
12,161.7146
13,160.8364
14,161.984
15,162.6627
16,162.8623
17,161.0759
18,162.6627
19,163.2415
20,163.2216
21,163.1617
22,163.0619
23,161.5948
24,160.1178
25,162.1936
26,163.9201
27,162.6727
28,161.1657
29,160.9162
30,158.531
31,157.3134
32,157.9322
33,157.5829
34,157.1837
35,158.8104
36,157.3334
37,156.1658
38,156.2855
39,155.8963
40,154.6887
41,156.3454
42,155.1877
43,154.8684
44,155.9562
45,156.3154
46,154.8684
47,152.6828
48,153.8205
49,153.2716
50,149.579
51,147.593
52,145.7068
53,144.4892
54,148.8006
55,149.4592
56,152.563
57,156.7047
58,155.2177
59,156.1059
60,156.515
61,158.8703
62,160.2974
63,162.5329
64,166.1856
65,164.5589
66,162.483
67,164.509
68,163.9601
69,166.1057
70,164.9181
71,160.3174
72,159.0599
73,160.8264
74,160.6767
75,161.4052
76,165.3473
77,169.938
78,167.0339
79,167.9421
80,167.1636
81,168.8802
82,166.7145
83,169.3592
84,168.2514
85,165.7964
86,167.1137
87,169.0997
88,163.1717
89,160.537
90,160.9062
91,161.3553
92,159.3493
93,157.8424
94,159.1098
95,154.2696
96,155.4073
97,161.505
98,161.9641
99,162.3733
100,164.0798
101,162.6926
102,163.8802
103,162.9421
104,164.0798
105,163.9501
106,162.5529
107,159.1497
108,159.499
109,158.2216
110,162.7325
111,163.0419
112,162.3533
113,162.6427
114,159.3194
115,160.4671
116,158.6009
117,159.2396
118,159.8978
119,162.6827
120,163.2516
121,160.9858
122,160.1873
123,163.5411
124,159.239
125,158.7599
126,157.9613
127,158.4704
128,156.8933
129,159.8579
130,161.5747
131,159.9577
132,159.8678
133,161.7145
134,162.2335
135,162.4331
136,165.0084
137,163.3016
138,164.4894
139,164.0502
140,164.9685
141,164.719
142,164.2997
143,162.7825
144,164.5393
145,164.0402
146,164.3097
147,164.1999
148,164.5293
149,174.012
150,178.6735
151,181.3086
152,182.6462
153,186.06
154,184.4729
155,185.6607
156,187.0482
157,187.4075
158,186.02
159,188.4057
160,187.0981
161,183.0055
162,183.7143
163,183.1453
164,185.2714
165,186.5191
166,188.6552
167,186.569
168,186.5391
169,186.9184
170,188.8249
171,184.6625
172,185.3313
173,187.2378
174,186.6189
175,186.3694
176,183.2451
177,182.4566
178,178.3141
179,180.8695
180,180.9992
181,180.9493
182,182.6262
183,182.4066
184,182.4865
185,179.6716
186,181.678
187,179.3922
188,177.8649
189,178.2043
190,178.354
191,176.8767
192,177.5056
193,178.5437
194,179.8114
195,177.9947
196,177.9548
197,178.8332
198,181.0491
199,180.4203
200,181.9974
201,182.4566
202,182.0573
203,179.3922
204,179.3323
205,179.1326
206,178.4838
207,180.0809
208,181.7079
209,181.7878
210,182.2869
211,182.6762
212,174.571
213,174.7506
214,173.3831
215,171.8859
216,173.3632
217,175.6789
218,175.9684
219,176.0383
220,176.6272
221,177.3958
222,178.3441
223,180.0909
224,177.4158
225,176.4276
226,174.2416
227,175.8287
228,176.5673
229,177.9548
230,178.394
231,176.3377
232,175.2198
233,176.4176
234,176.4974
235,175.2996
236,176.3377
237,176.6771
238,177.9847
239,178.8531
240,175.9584
241,176.3078
242,174.1617
243,176.3278
244,173.2036
245,172.4249
246,172.8542
247,172.5148
248,172.355
249,175.3002
250,176.3385
251,176.7178
252,177.0373
253,176.7078
254,176.7977
255,178.0556
256,174.5913
257,174.4516
258,174.0922
259,172.5347
260,173.5531
261,173.1238
262,172.1055
263,173.5531
264,173.563
265,169.2701
266,164.6478
267,153.4763
268,160.5446
269,159.5163
270,164.7276
271,163.1403
272,163.929
273,159.7359
274,160.9539
275,162.9706
276,141.8754
277,152.5578
278,149.4429
279,148.784
280,148.0352
281,149.3631
282,148.165
283,148.4246
284,149.7524
285,149.2033
286,153.7059
287,152.7974
288,153.8856
289,154.235
290,153.8856
291,148.2549
292,144.3414
293,146.8772
294,148.3248
295,144.581
296,149.9221
297,147.4662
298,144.7607
299,142.3147
300,140.8771
301,136.8338
302,138.6707
303,139.6791
304,140.0984
305,145.5294
306,143.8522
307,143.5227
308,145.6592
309,146.4479
310,143.2831
311,146.1384
312,146.0385
313,146.1783
314,148.5943
315,149.972
316,152.418
317,154.4446
318,152.1185
319,152.398
320,153.2466
321,152.6876
322,151.5694
323,152.0386
324,148.3248
325,146.5178
326,147.2565
327,148.6742
328,144.4312
329,145.3197
330,144.7507
331,144.4312
332,141.9653
333,144.4013
334,144.9004
335,146.9071
336,146.0984
337,147.8555
338,149.5328
339,126.0216
340,129.5658
