,0
0,40.64
1,40.25
2,41.4
3,40.3
4,41.59
5,39.81
6,40.92
7,40.65
8,40.75
9,41.33
10,41.99
11,40.79
12,41.0
13,41.9
14,42.49
15,43.12
16,44.15
17,44.35
18,45.79
19,46.0
20,46.65
21,47.84
22,46.54
23,46.21
24,45.79
25,46.28
26,46.44
27,46.99
28,46.64
29,46.56
30,45.3
31,44.33
32,44.62
33,45.05
34,45.41
35,44.8
36,44.32
37,43.66
38,44.29
39,43.29
40,42.56
41,43.0
42,42.0
43,41.57
44,42.57
45,42.92
46,41.87
47,41.6
48,43.13
49,42.53
50,42.1
51,42.67
52,41.55
53,42.05
54,44.46
55,44.33
56,45.51
57,46.01
58,45.36
59,45.53
60,44.89
61,44.42
62,47.29
63,46.26
64,45.48
65,48.93
66,48.82
67,48.81
68,48.61
69,48.8
70,48.74
71,49.54
72,49.69
73,50.0
74,49.52
75,48.96
76,50.0
77,50.75
78,49.66
79,50.41
80,49.92
81,50.43
82,50.66
83,51.07
84,50.8
85,49.93
86,50.52
87,51.41
88,50.63
89,50.97
90,50.24
91,50.77
92,50.08
93,50.74
94,51.6
95,50.6
96,49.96
97,52.5
98,53.87
99,54.07
100,54.26
101,52.84
102,53.75
103,53.84
104,53.35
105,53.44
106,53.9
107,52.13
108,51.78
109,50.63
110,51.0
111,51.49
112,50.91
113,50.61
114,51.16
115,50.37
116,49.6
117,50.37
118,49.75
119,50.94
120,51.62
121,51.41
122,51.4
123,52.88
124,51.99
125,52.04
126,50.92
127,50.45
128,50.24
129,51.91
130,52.53
131,51.66
132,51.28
133,56.28
134,58.99
135,59.83
136,59.79
137,60.38
138,61.87
139,61.3
140,62.15
141,63.27
142,63.67
143,63.82
144,63.74
145,63.68
146,63.26
147,61.4
148,61.91
149,61.7
150,61.83
151,62.0
152,60.93
153,60.36
154,62.19
155,62.41
156,63.0
157,63.8
158,64.47
159,65.65
160,64.89
161,65.04
162,65.31
163,64.24
164,64.23
165,65.92
166,66.26
167,67.27
168,66.67
169,66.89
170,67.7
171,66.34
172,67.28
173,66.95
174,67.11
175,66.9
176,66.75
177,64.55
178,64.16
179,63.59
180,63.31
181,63.89
182,62.91
183,64.11
184,63.86
185,62.6
186,62.45
187,59.56
188,59.24
189,59.55
190,59.54
191,58.8
192,58.44
193,62.02
194,65.11
195,65.64
196,67.97
197,68.44
198,69.31
199,69.27
200,69.5
201,70.55
202,70.35
203,71.1
204,71.05
205,71.0
206,71.53
207,71.7
208,72.84
209,72.17
210,70.39
211,67.28
212,66.59
213,67.51
214,67.2
215,67.38
216,68.2
217,68.34
218,67.91
219,68.35
220,69.35
221,69.2
222,68.31
223,69.79
224,69.98
225,70.0
226,70.22
227,71.88
228,70.13
229,70.76
230,70.94
231,72.14
232,68.65
233,70.75
234,68.56
235,68.42
236,68.74
237,70.36
238,69.91
239,72.25
240,73.19
241,72.88
242,73.43
243,72.8
244,72.3
245,72.98
246,70.96
247,69.28
248,68.86
249,69.05
250,68.56
251,72.57
252,75.71
253,77.0
254,75.95
255,77.55
256,75.94
257,76.02
258,75.89
259,75.48
260,75.85
261,77.11
262,78.0
263,80.92
264,79.95
265,78.6
266,74.09
267,71.58
268,75.08
269,74.02
270,75.5
271,76.47
272,76.22
273,73.66
274,72.88
275,73.2
276,72.87
277,74.76
278,77.53
279,77.54
280,79.0
281,80.98
282,80.45
283,80.6
284,81.4
285,79.22
286,78.85
287,77.29
288,76.67
289,76.69
290,77.31
291,71.9
292,67.75
293,67.5
294,68.63
295,66.16
296,69.91
297,67.21
298,64.81
299,64.02
300,63.83
301,65.77
302,67.0
303,69.0
304,66.96
305,68.67
306,68.86
307,70.0
308,69.08
309,66.65
310,63.38
311,63.76
312,64.44
313,65.89
314,67.78
315,66.5
316,62.6
317,64.09
318,64.43
319,63.86
320,65.38
321,65.87
322,65.82
323,65.59
324,62.4
325,61.34
326,61.76
327,62.77
328,62.94
329,62.64
330,56.27
331,59.37
332,59.76
333,61.3
334,60.65
335,62.08
336,60.39
337,62.76
338,61.19
339,59.45
340,60.33
341,58.65
342,58.43
343,58.65
344,57.62
345,58.11
346,57.39
347,58.6
348,58.92
349,58.51
350,60.51
351,61.89
352,60.84
353,61.0
354,61.02
355,61.5
356,61.66
357,60.45
358,59.16
359,59.76
360,60.03
361,58.83
362,57.28
363,56.3
364,56.09
365,56.55
366,55.02
367,53.74
368,53.78
369,53.39
370,55.26
371,55.73
372,56.36
373,54.43
374,56.21
375,54.46
376,53.85
377,54.94
378,54.26
379,53.93
380,53.93
381,55.36
382,51.37
383,50.36
384,51.37
385,51.43
386,54.98
387,55.59
388,58.34
389,59.43
390,60.36
391,61.05
392,62.32
393,62.16
394,62.4
395,63.32
396,62.45
397,62.46
398,63.21
399,63.73
400,64.67
401,63.54
402,64.35
403,63.18
404,64.0
405,64.38
406,65.92
407,65.02
