,0
0,54.16
1,53.95
2,55.22
3,55.56
4,57.73
5,54.45
6,58.52
7,61.4
8,62.09
9,65.63
10,67.54
11,68.98
12,67.68
13,68.0
14,67.44
15,65.1
16,66.06
17,68.34
18,69.52
19,67.69
20,68.68
21,69.77
22,68.89
23,67.73
24,65.93
25,65.44
26,67.57
27,66.09
28,69.07
29,70.0
30,72.86
31,71.8
32,74.08
33,79.22
34,78.78
35,77.89
36,76.52
37,77.56
38,78.6
39,78.0
40,77.64
41,78.2
42,78.43
43,77.13
44,77.56
45,78.36
46,79.72
47,78.13
48,80.26
49,75.8
50,81.51
51,86.27
52,82.0
53,85.15
54,85.5
55,86.19
56,88.88
57,89.0
58,89.72
59,90.9
60,93.49
61,93.5
62,93.61
63,90.96
64,95.8
65,92.0
66,91.68
67,89.99
68,89.03
69,92.36
70,96.27
71,99.72
72,97.82
73,100.38
74,99.54
75,89.98
76,90.5
77,89.45
78,88.78
79,91.31
80,92.17
81,96.18
82,97.55
83,101.15
84,100.23
85,100.91
86,101.6
87,100.05
88,99.7
89,101.25
90,102.52
91,105.42
92,102.03
93,99.29
94,101.98
95,91.33
96,92.5
97,98.26
98,98.54
99,98.8
100,101.92
101,93.88
102,93.63
103,97.99
104,97.02
105,96.71
106,97.97
107,96.44
108,95.77
109,94.85
110,97.35
111,102.14
112,103.22
113,105.57
114,102.41
115,103.78
116,98.14
117,100.49
118,92.5
119,88.95
120,92.66
121,93.41
122,94.25
123,96.8
124,92.57
125,92.56
126,94.75
127,93.18
128,88.4
129,86.16
130,89.86
131,89.11
132,88.66
133,92.12
134,94.95
135,96.0
136,95.17
137,96.85
138,96.81
139,98.67
140,102.85
141,104.14
142,105.1
143,106.36
144,104.8
145,102.51
146,105.98
147,106.13
148,108.46
149,112.42
150,107.15
151,106.03
152,110.48
153,114.17
154,114.08
155,114.47
156,116.81
157,115.65
158,113.92
159,120.58
160,116.41
161,112.36
162,108.97
163,98.64
164,99.75
165,105.0
166,107.0
167,103.76
168,105.57
169,103.37
170,103.8
171,104.99
172,106.38
173,108.0
174,114.24
175,115.18
176,117.0
177,120.34
178,120.45
179,118.52
180,130.02
181,121.03
182,117.47
183,118.04
184,118.99
185,108.88
186,104.01
187,105.95
188,101.77
189,107.49
190,106.87
191,105.84
192,105.36
193,105.56
194,112.9
195,111.8
196,115.03
197,115.89
198,117.0
199,119.0
200,121.96
201,117.37
202,124.8
203,124.54
204,124.03
205,128.06
206,130.04
207,128.98
208,132.35
209,131.22
210,131.09
211,127.87
212,128.58
213,131.18
214,129.66
215,127.57
216,129.98
217,131.78
