,0
0,103.21
1,103.16
2,103.23
3,103.41
4,103.63
5,103.03
6,104.19
7,103.27
8,102.82
9,103.32
10,105.02
11,104.18
12,104.84
13,103.97
14,103.7
15,103.19
16,103.61
17,103.43
18,103.96
19,103.01
20,103.25
21,103.48
22,104.44
23,103.73
24,103.69
25,102.65
26,103.02
27,102.5
28,102.88
29,103.57
30,101.82
31,100.96
32,101.3
33,101.81
34,102.84
35,102.0
36,101.46
37,100.72
38,101.26
39,100.29
40,99.5
41,100.01
42,99.3
43,97.92
44,97.66
45,98.37
46,97.5
47,96.95
48,99.0
49,97.96
50,97.16
51,96.05
52,94.88
53,94.27
54,95.78
55,96.63
56,100.294
57,107.66
58,105.53
59,107.27
60,108.21
61,108.65
62,110.0
63,109.84
64,112.17
65,111.0
66,111.54
67,112.78
68,112.02
69,112.93
70,111.32
71,112.33
72,111.68
73,113.5
74,113.93
75,112.34
76,112.37
77,113.79
78,114.15
79,117.71
80,116.01
81,116.58
82,116.1
83,116.08
84,115.45
85,116.08
86,116.28
87,116.83
88,116.02
89,115.6
90,114.43
91,115.13
92,112.8
93,112.11
94,112.06
95,111.74
96,111.48
97,114.47
98,114.36
99,115.15
100,115.77
101,114.58
102,114.69
103,114.19
104,114.43
105,114.24
106,113.57
107,113.62
108,112.95
109,113.47
110,117.11
111,118.14
112,116.82
113,117.52
114,114.68
115,114.82
116,112.34
117,114.06
118,113.54
119,114.58
120,115.91
121,114.11
122,116.51
123,119.43
124,118.8
125,119.84
126,119.0
127,119.79
128,118.67
129,119.65
130,119.84
131,118.69
132,118.69
133,118.4
134,119.01
135,119.36
136,119.5
137,119.88
138,119.66
139,119.33
140,121.04
141,121.43
142,120.7
143,120.78
144,120.52
145,120.17
146,120.89
147,119.43
148,120.29
149,121.45
150,118.92
151,117.48
152,117.22
153,120.04
154,121.98
155,121.87
156,123.43
157,122.98
158,123.61
159,124.12
160,124.52
161,123.59
162,123.07
163,120.84
164,122.27
165,124.64
166,124.48
167,124.02
168,123.64
169,123.57
170,125.92
171,124.9
172,125.03
173,125.75
174,125.67
175,125.0
176,125.19
177,124.12
178,124.1
179,124.94
180,124.4
181,123.68
182,123.87
183,124.25
184,123.9
185,127.19
186,125.55
187,124.64
188,125.99
189,126.83
190,126.58
191,128.03
192,127.23
193,128.95
194,130.4
195,131.04
196,130.89
197,130.65
198,130.58
199,130.7
200,131.62
201,133.07
202,134.93
203,133.66
204,133.1
205,133.27
206,134.69
207,134.58
208,134.04
209,133.48
210,134.23
211,134.49
212,133.65
213,133.14
214,132.99
215,133.84
216,134.97
217,134.27
218,133.44
219,132.99
220,134.47
221,134.79
222,136.39
223,136.92
224,136.69
225,135.01
226,132.72
227,130.85
228,130.08
229,128.68
230,129.28
231,129.43
232,128.72
233,130.22
234,128.36
235,126.94
236,126.9
237,129.64
238,130.17
239,132.06
240,131.49
241,130.3
242,130.8
243,131.24
244,131.07
245,133.0
246,131.14
247,130.3
248,131.5
249,131.64
250,133.3
251,133.42
252,133.42
253,133.32
254,135.41
255,134.88
256,131.26
257,132.59
258,133.0
259,131.49
260,129.38
261,128.4
262,128.32
263,129.27
264,128.67
265,127.65
266,124.83
267,116.41
268,120.62
269,118.04
270,124.69
271,125.04
272,124.92
273,119.0
274,119.5
275,122.5
276,121.33
277,122.3
278,124.37
279,122.51
280,122.39
281,124.35
282,124.71
283,124.57
284,124.68
285,122.93
286,122.56
287,119.78
288,119.69
289,118.63
290,119.24
291,116.39
292,115.11
293,118.5
294,118.13
295,115.56
296,120.1
297,118.97
298,117.88
299,119.0
300,119.66
301,120.39
302,119.84
303,119.08
304,118.12
305,121.16
306,120.72
307,121.4
308,122.64
309,121.79
310,123.82
311,124.16
312,126.64
313,127.48
314,128.82
315,128.84
316,128.21
317,131.89
318,133.05
319,132.36
320,131.47
321,131.93
322,131.96
323,132.93
324,130.62
325,129.62
326,128.85
327,130.39
328,132.13
329,131.89
330,131.88
331,133.17
332,132.61
333,132.56
334,133.51
335,134.25
336,133.33
337,132.78
338,130.88
339,128.15
340,130.62
341,129.69
342,129.51
343,128.99
344,129.15
345,129.62
346,130.7
347,132.49
348,133.86
349,130.45
350,130.5
351,131.24
352,133.57
353,133.73
354,133.47
355,134.99
356,136.0
357,134.98
358,132.56
359,130.47
360,128.46
361,127.87
362,129.59
363,127.78
364,127.26
365,127.44
366,124.14
367,124.83
368,127.47
369,124.33
370,125.4
371,125.66
372,127.03
373,124.63
374,121.7
375,120.83
376,117.89
377,121.68
378,119.13
379,118.45
380,118.39
381,117.33
382,114.34
383,112.53
384,116.73
385,115.19
386,117.85
387,119.47
388,120.42
389,121.89
390,121.16
391,122.59
392,121.92
393,120.25
394,121.09
395,122.1
396,121.84
397,121.09
398,123.11
399,125.61
400,126.45
401,126.2
402,127.03
403,128.38
404,128.14
405,128.34
406,128.52
407,128.05
408,128.55
409,130.05
410,128.18
411,130.0
412,129.42
413,130.08
414,130.01
415,130.02
416,130.1
417,132.52
418,132.16
419,130.91
420,133.36
421,131.47
422,130.94
423,133.47
424,131.24
425,131.48
426,130.99
427,132.77
428,134.86
429,135.0
430,135.65
431,137.45
432,136.93
433,136.41
434,137.92
435,137.46
436,138.45
437,133.68
438,132.73
439,130.94
440,130.88
441,131.96
442,130.41
443,130.66
444,130.89
445,132.79
446,134.17
447,135.15
448,134.97
449,134.67
450,135.02
451,136.18
452,134.47
453,134.4
454,135.73
455,135.26
456,135.61
457,137.68
458,137.31
459,136.71
460,137.72
461,137.08
462,138.13
463,139.15
464,138.26
465,138.49
466,138.03
467,139.45
468,138.74
469,137.69
470,135.0
471,136.24
472,134.48
473,135.56
474,136.07
475,136.68
476,136.19
477,138.57
478,135.0
479,134.16
480,133.21
481,134.79
482,134.41
483,140.58
484,141.33
485,141.11
486,142.74
487,143.67
488,147.13
489,146.49
490,151.44
491,149.16
492,149.82
493,149.0
494,148.47
495,149.01
496,150.3
497,149.46
498,149.0
499,151.65
500,155.09
501,157.31
502,157.22
503,158.9
504,159.53
505,157.45
506,157.49
507,158.47
508,156.86
509,157.38
510,158.26
511,158.68
512,158.85
513,158.55
514,158.46
515,158.78
516,158.0
517,158.59
518,160.04
519,161.0
520,161.66
521,158.15
522,158.56
523,158.25
524,158.89
525,157.22
526,157.42
527,156.93
528,156.8
529,156.82
530,158.86
531,157.99
532,150.71
533,152.27
