,0
0,47.84
1,47.12
2,47.97
3,47.09
4,47.85
5,47.53
6,47.97
7,48.54
8,48.24
9,49.85
10,51.5
11,52.0
12,51.95
13,52.13
14,51.95
15,50.18
16,51.35
17,53.68
18,54.94
19,54.0
20,54.22
21,54.5
22,53.83
23,52.95
24,52.34
25,51.85
26,52.47
27,50.89
28,50.6
29,50.26
30,48.63
31,47.87
32,49.17
33,48.45
34,49.29
35,49.23
36,46.86
37,47.79
38,49.04
39,49.06
40,49.06
41,50.77
42,49.14
43,47.7
44,47.0
45,47.68
46,47.36
47,46.73
48,48.0
49,47.23
50,46.1
51,45.93
52,45.73
53,46.93
54,51.74
55,50.1
56,51.43
57,52.56
58,53.02
59,55.0
60,55.05
61,57.46
62,58.12
63,59.02
64,65.0
65,66.93
66,67.5
67,68.1
68,67.79
69,68.78
70,69.39
71,70.97
72,70.71
73,71.76
74,71.2
75,69.47
76,69.82
77,69.8
78,70.46
79,72.5
80,72.5
81,75.79
82,73.1
83,76.12
84,75.88
85,73.65
86,74.92
87,74.24
88,74.42
89,75.5
90,76.22
91,79.0
92,76.58
93,75.32
94,74.88
95,71.63
96,72.82
97,76.36
98,76.84
99,76.1
100,75.84
101,69.57
102,71.67
103,73.84
104,74.07
105,73.1
106,73.65
107,73.82
108,73.23
109,72.48
110,75.0
111,73.01
112,73.07
113,73.92
114,75.28
115,76.11
116,73.03
117,74.44
118,76.51
119,77.99
120,77.29
121,79.14
122,81.99
123,83.51
124,81.7
125,81.05
126,80.44
127,79.45
128,74.66
129,73.5
130,74.05
131,74.32
132,76.74
133,75.48
134,76.62
135,74.62
136,76.1
137,77.97
138,78.95
139,80.11
140,82.49
141,83.4
142,81.26
143,85.65
144,87.01
145,85.48
146,88.69
147,87.81
148,89.6
149,91.75
150,90.41
151,89.23
152,89.89
153,90.0
154,89.59
155,90.03
156,92.02
157,91.79
158,93.17
159,97.26
160,94.59
161,93.7
162,92.87
163,89.59
164,89.72
165,95.85
166,92.9
167,92.3
168,89.56
169,88.34
170,88.83
171,89.64
172,91.5
173,92.35
174,94.14
175,98.72
176,99.43
177,100.84
178,101.76
179,104.12
180,106.76
181,109.97
182,107.6
183,107.59
184,107.42
185,101.73
186,99.64
187,99.64
188,98.86
189,99.26
190,100.36
191,98.81
192,100.63
193,104.16
194,104.0
195,103.59
196,105.63
197,104.99
198,107.3
199,106.51
200,108.11
201,108.33
202,110.17
203,108.0
204,107.46
205,107.54
206,107.92
207,107.9
208,111.63
209,109.52
210,107.93
211,108.09
212,107.29
213,108.87
214,107.14
215,106.25
216,105.69
217,105.31
218,105.17
219,103.09
220,104.42
221,105.68
222,109.5
223,108.53
224,109.51
225,109.19
226,105.43
227,104.86
228,101.86
229,103.01
